2012-12-05,0.4332
2013-01-08,0.3545
2013-03-15,0.1317
2013-06-28,0.6342
2013-08-23,0.1503
2013-09-17,0.7085
2013-10-26,0.881
2014-02-26,0.118
2014-03-25,0.08
2014-05-13,0.188
2014-06-25,0.383
2014-08-12,1.256
2014-09-28,0.758
2015-03-21,0.7011
2015-05-15,0.070415
2015-06-16,0.037583
2015-07-27,0.588304
2015-09-13,1.166088
2015-10-29,1.408629
2016-03-05,0.049949
2016-04-28,0.4269
2016-06-04,0.013219
2016-07-24,0.817734
2016-09-18,0.824911
2016-11-07,0.487273
2017-03-14,0.30098
2017-04-23,0.02402
2017-05-26,0.05598
2017-07-03,1.251739
2017-08-15,0.946546
2017-10-09,0.71381
2018-02-11,0.487336
2018-03-15,0.827015
2018-04-24,0.008323
2018-06-07,0.032173
2018-10-25,0.975699
2018-12-19,0.415529
2019-02-15,0.008934
