2012-12-05,6.9633
2013-01-08,7.12
2013-03-15,8.12
2013-06-28,5.0
2013-08-23,11.22
2013-09-17,7.42
2013-10-26,7.63
2014-02-26,11.2
2014-03-25,10.0
2014-05-13,8.0
2014-06-25,4.5
2014-08-12,5.7
2014-09-28,6.5
2015-03-21,6.04
2015-05-15,6.57
2015-06-16,6.42
2015-07-27,5.4
2015-09-13,6.86
2015-10-29,6.19
2016-03-05,14.84
2016-04-28,4.24
2016-06-04,6.94
2016-07-24,6.55
2016-09-18,5.21
2016-11-07,7.54
2017-03-14,7.53
2017-04-23,7.62
2017-05-26,6.32
2017-07-03,6.59
2017-08-15,6.62
2017-10-09,7.35
2018-02-11,7.69
2018-03-15,4.5
2018-04-24,4.6
2018-06-07,4.36
2018-10-25,7.08
2018-12-19,7.54
2019-02-15,8.98
