2012-12-05,5.5
2013-01-08,5.7692
2013-03-15,18.6346
2013-06-28,31.5
2013-08-23,7.33
2013-09-17,460.0
2013-10-26,67.5
2014-02-26,9.3
2014-03-25,9.8
2014-05-13,12.7
2014-06-25,23.1
2014-08-12,98.0
2014-09-28,64.0
2015-03-21,31.0
2015-05-15,15.38
2015-06-16,15.0
2015-07-27,44.0
2015-09-13,183.33
2015-10-29,103.64
2016-03-05,9.0
2016-04-28,20.0
2016-06-04,9.5
2016-07-24,13.75
2016-09-18,18.0
2016-11-07,23.0
2017-03-14,10.0
2017-04-23,18.0
2017-05-26,10.0
2017-07-03,198.0
2017-08-15,70.0
2017-10-09,155.0
2018-02-11,120.25
2018-03-15,85.5
2018-04-24,50.75
2018-06-07,16.0
2018-10-25,44.0
2018-12-19,44.357143
2019-02-15,24.0
